task_id,round,acc1,acc5,loss,p_micro,r_micro,f1_micro,p_macro,r_macro,f1_macro,p_weighted,r_weighted,f1_weighted,fpr
1,1,34.005709453657396,45.50330074614112,2.240085873722045,0.34005709453595806,0.34005709453595806,0.34005709453595806,0.05910558207285787,0.16754253830656554,0.08614884257197208,0.11631016381978428,0.34005709453595806,0.1732586992049805,0.16625808829725336
1,2,34.00548240751758,45.50337642818772,3.1345125717565048,0.34005482407455995,0.34005482407455995,0.34005482407455995,0.22013622757086235,0.16669213315977086,0.08463766870940113,0.1970278052980858,0.34005482407455995,0.17260285043331233,0.16666316192350036
1,3,34.00449854091173,97.33503331778797,3.7119261479574788,0.3400449854085014,0.3400449854085014,0.3400449854085014,0.17070911998480898,0.1666727580882381,0.08459842578060629,0.17241418868492264,0.3400449854085014,0.1725821562697999,0.16666577212790484
1,4,34.00492740584249,99.21285625393817,3.7586458837690433,0.340049274057809,0.340049274057809,0.340049274057809,0.17862548053799618,0.16668137056721352,0.08461590249491817,0.17635655335462064,0.340049274057809,0.17259125188466112,0.1666647288323169
1,5,34.005204906680035,99.459302234145,3.930840667614267,0.34005204906618447,0.34005204906618447,0.34005204906618447,0.18808467470982834,0.16668694334772702,0.08462722044296518,0.18106707348718207,0.34005204906618447,0.17259715789888583,0.1666640280272703
1,6,34.00533104342438,99.53743133248057,3.900017671348635,0.34005331043362785,0.34005331043362785,0.34005331043362785,0.1866179926127969,0.1666894764297786,0.08463236443550189,0.18033683825563648,0.34005331043362785,0.17259984218760568,0.16666371623249968
1,7,34.005583316913054,99.4831168483661,3.971131010981631,0.3400558331685147,0.3400558331685147,0.3400558331685147,0.190007966098545,0.1666945425938818,0.08464265229181565,0.1820251218094287,0.3400558331685147,0.17260521070162202,0.16666308251349168
1,8,34.00533104342438,99.6364739030277,3.7379289451709465,0.34005331043362785,0.34005331043362785,0.34005331043362785,0.18235754989722777,0.1666894764297786,0.08463236415225238,0.17821531845231706,0.34005331043362785,0.17259984204655943,0.16666372298547752
1,9,34.00538149812211,99.63306821093053,3.9634753051868157,0.3400538149806052,0.3400538149806052,0.3400538149806052,0.18570677644785127,0.16669048966259925,0.08463442194266863,0.1798831353493195,0.3400538149806052,0.17260091585841789,0.16666359218988921
1,10,34.00543195281985,99.7242146218363,3.9006811838504696,0.3400543195275826,0.3400543195275826,0.3400543195275826,0.18688288031209432,0.16669150289541987,0.08463647956685803,0.18046882930234676,0.3400543195275826,0.1726019895875394,0.16666346477078983
1,11,34.00563377161079,99.73594533339362,3.8065568075692355,0.34005633771549204,0.34005633771549204,0.34005633771549204,0.18909475268495388,0.16669555582670245,0.08464470963904269,0.18157042435820442,0.34005633771549204,0.172606284292976,0.16666295847088122
